hospital name,latitude,longitude
灵实胡平颐养院,22.313364,114.2722
稳健(综合护理)敬老院,22.429871,114.000817
乐善堂朱定昌颐养院,22.443402,114.172792
康泰护老院有限公司,22.471987,114.065855
基督教家庭服务中心任白慈善基金景林安老院,22.318757,114.26569
海恬护老院,22.405192,114.214729
灵实蚝涌臣颐养院,22.350909,114.255201
喇沙老人休养院,22.32401,114.18082
耆康会何善衡夫人敬老院,22.26786,114.128748
慈华护老院,22.343568,114.207091
圣芳济敬老院(上水分院),22.501245,114.132587
耆乐新天地,22.305969,114.176169
九龙主恩堂敬老之家,22.319394,114.170183
伸手助人协会毕尚华神父护老颐养院,22.429073,114.255752
光爱中心有限公司光爱敬老院,22.40154,113.975804
东华三院香港西区妇女福利会护养安老院,22.277901,114.231834
康达老人中心(分院),22.31444,114.235583
基督教香港崇真会广福颐养院,22.446181,114.180112
剑桥护老院(骆克道),22.275845,114.180821
圣芳济敬老院,22.502916,114.103939
香港西区妇女福利会关启明纪念松鹤老人中心,22.278416,114.224291
礼贤会诗田颐养院,22.359243,114.128047
保良局陈区碧茵颐养院,22.282607,114.137525
荟耆颐养院,22.336124,114.159111
温馨护老中心河上乡分院,22.510946,114.113648
恩耆颐养院,22.314653,114.239457
耀耆颐养院,22.3537,114.134256
敬爱护老院,22.309538,114.191678
宜港养老院,22.502274,114.125885
泰嘉颐养院,22.303295,114.173104
基督教圣约教会康静颐养院,22.333244,114.165826
乐善堂朱定昌颐养院,22.44193,114.175478
中华基督教会湾仔堂牧恩长者中心,22.273916,114.173985
大众养老中心有限公司,22.312995,114.194277
力健敬老之家(新丰路),22.504593,114.132155
养浩安老院,22.446447,114.170447
亚洲妇女协进会陈昆栋颐养之家护理安老院,22.33152,114.185962
力健敬老之家(马会道),22.501635,114.135314
恒爱敬老之家(第二分院),22.308777,114.174996
康瑞敬老乐园,22.39826,113.98247
力健敬老之家德丰楼分院,22.503859,114.132033
乐善堂梁銶琚敬老之家,22.342074,114.196614
乐善堂尹立强敬老康乐中心,22.375507,114.115078
颐养之家护老院,22.303022,114.175079
基督教培道联爱会庄重文敬老中心,22.275903,114.198829
乐善堂陈黎掌娇敬老康乐中心,22.264701,114.191485
安心居护老中心,22.366408,114.123177
腾达护老中心(葵涌),22.365504,114.139681
嘉宝护老院,22.365681,114.13879
颐和园护老中心(红磡),22.309761,114.192311
定富护老院,22.314475,114.221042
荷花护老院,22.330364,114.168807
善颐(福群)护老院,22.316842,114.16552
康泰护老中心,22.322922,114.175116
康福护老中心,22.320005,114.169339
康德(大埔)护老院有限公司,22.444866,114.170021
晓光护老中心(晓光街),22.315186,114.235584
安康护老院,22.419516,114.034752
百顺护老中心,22.364945,114.137241
明恩护老院,22.392319,113.982069
城市护老院,22.287787,114.201288
頣和园护老中心有限公司,22.324284,114.187803
华丰护老中心,22.362754,114.140493
温暖护老院,22.326664,114.171523
新蒲岗护老院,22.331713,114.200723
来来护老中心,22.374681,114.109769
广福护老院有限公司,22.446508,114.170316
福慧护老中心,22.332113,114.166328
顺福护老院(大埔商业中心店),22.444657,114.174298
广福护老院,22.376233,114.113558
辉涛护老院(安丽分院),22.398131,113.982658
德福护老中心(枫树街),22.325704,114.171607
协和护老院,22.324208,114.167265
九龙塘永健护老院(沙福道),22.334256,114.18196
基德(蓝地)护老院有限公司,22.412859,113.987593
唯爱护老院,22.311738,114.173471
庆楠护老院(深水埗)有限公司,22.324305,114.167904
泽群护老中心,22.335353,114.160536
民康护老中心,22.3696,114.116694
长春护老中心(差馆里),22.304721,114.191162
港城护老院有限公司,22.336125,114.160655
嘉华护老院有限公司,22.392816,113.982336
港泰护老中心,22.343759,114.205983
